Asset_ID	Plant	Department	Machine_Type	Asset_Name	Installation_Year	Maintenance_Date	Maintenance_Type	Failure_Type	Downtime_Hours	Repair_Cost_INR	Technician	Priority	Work_Order_Status	Asset_Status	Spare_Part_Used	Repair_Time_Hours	Asset_Age_Years
AST1019	Vizag	Assembly	Boiler	Machine-19	2014	2026-02-12	Preventive	Overheating	5.5	37922	Rahul	Critical	Completed	Active	Sensor	2.6	12
AST1020	Bengaluru	Assembly	Pump	Machine-20	2014	2026-05-29	Preventive	Bearing Failure	10.7	34454	Meena	Medium	Completed	Idle	Bearing	8.6	12
AST1021	Hyderabad	Production	Boiler	Machine-21	2015	2026-06-02	Preventive	Electrical Fault	4.8	40462	Ravi	Low	In Progress	Idle	Belt	5.9	11
AST1022	Chennai	Packaging	Compressor	Machine-22	2019	2026-03-08	Preventive	Motor Failure	12.3	21160	Priya	High	Completed	Active	Valve	6.4	7
AST1023	Hyderabad	Utilities	Compressor	Machine-23	2023	2026-01-26	Corrective	Motor Failure	16.8	6008	Kumar	High	In Progress	Active	Valve	8.4	3
AST1024	Bengaluru	Utilities	Conveyor	Machine-24	2025	2026-03-19	Corrective	Electrical Fault	5.7	44975	Ravi	Medium	In Progress	Active	Bearing	7.6	1
AST1025	Pune	Utilities	Compressor	Machine-25	2016	2026-03-11	Corrective	Motor Failure	12.5	18800	Meena	Critical	In Progress	Active	Bearing	6.5	10
AST1026	Hyderabad	Packaging	Robot Arm	Machine-26	2018	2026-01-12	Preventive	Sensor Fault	3.3	30456	Meena	Critical	Pending	Active	Bearing	1.2	8
AST1027	Bengaluru	Assembly	Robot Arm	Machine-27	2025	2026-02-08	Preventive	Electrical Fault	3.1	9852	Ravi	High	In Progress	Active	Sensor	2.5	1
AST1028	Hyderabad	Packaging	Robot Arm	Machine-28	2017	2026-06-20	Corrective	Overheating	17.5	11628	Kumar	Medium	Completed	Under Maintenance	Bearing	2.2	9
AST1029	Vizag	Production	CNC Machine	Machine-29	2019	2026-07-20	Preventive	No Failure	2.4	4037	Priya	Medium	Completed	Under Maintenance	Sensor	3.4	7
AST1030	Hyderabad	Production	Boiler	Machine-30	2017	2026-02-27	Preventive	Bearing Failure	17.4	19792	Anil	Critical	Pending	Idle	Sensor	9.4	9
AST1031	Chennai	Utilities	CNC Machine	Machine-31	2015	2026-03-08	Preventive	Electrical Fault	8.1	22057	Priya	Low	In Progress	Idle	Motor	2.9	11
AST1032	Hyderabad	Utilities	Robot Arm	Machine-32	2025	2026-04-22	Corrective	No Failure	17	14412	Anil	Critical	Completed	Idle	Sensor	6.4	1
AST1033	Pune	Utilities	CNC Machine	Machine-33	2024	2026-02-01	Corrective	Sensor Fault	7.5	20876	Meena	Medium	Completed	Under Maintenance	None	9.4	2
AST1034	Chennai	Utilities	Generator	Machine-34	2024	2026-07-11	Preventive	Electrical Fault	15.1	21414	Anil	Medium	In Progress	Idle	Belt	6.7	2
AST1035	Vizag	Production	Generator	Machine-35	2021	2026-04-24	Preventive	No Failure	3.5	7057	Anil	High	Completed	Active	None	3.4	5
AST1036	Hyderabad	Assembly	Compressor	Machine-36	2017	2026-02-07	Predictive	Electrical Fault	15.4	6272	Priya	Critical	Pending	Idle	Motor	7.3	9
AST1037	Vizag	Production	Compressor	Machine-37	2020	2026-05-07	Corrective	Bearing Failure	16.1	8485	Priya	Medium	Completed	Idle	Belt	4.9	6
AST1038	Hyderabad	Quality	Compressor	Machine-38	2022	2026-03-05	Corrective	No Failure	9.8	38129	Meena	High	In Progress	Idle	None	9	4
AST1039	Vizag	Production	Pump	Machine-39	2020	2026-05-21	Predictive	Overheating	5	17703	Rahul	High	Pending	Under Maintenance	None	2.8	6
AST1040	Pune	Production	CNC Machine	Machine-40	2021	2026-01-20	Preventive	Electrical Fault	1.9	11384	Kumar	Critical	Pending	Active	None	2.5	5
AST1041	Pune	Utilities	Boiler	Machine-41	2020	2026-04-15	Preventive	Motor Failure	15.1	27024	Meena	Low	Pending	Under Maintenance	Valve	0.6	6
AST1042	Vizag	Quality	Generator	Machine-42	2019	2026-03-18	Corrective	Electrical Fault	14.5	15953	Priya	Medium	In Progress	Under Maintenance	Valve	0.8	7
AST1043	Vizag	Production	Robot Arm	Machine-43	2019	2026-06-21	Preventive	Motor Failure	17.7	36504	Ravi	Critical	Pending	Idle	None	0.8	7
AST1044	Chennai	Quality	Compressor	Machine-44	2024	2026-04-20	Preventive	Overheating	6.2	31299	Anil	High	In Progress	Under Maintenance	Valve	2.9	2
AST1045	Hyderabad	Utilities	Conveyor	Machine-45	2015	2026-05-01	Predictive	Sensor Fault	4.4	5996	Rahul	Low	Completed	Active	Motor	8.5	11
AST1046	Chennai	Production	Boiler	Machine-46	2023	2026-02-09	Corrective	Electrical Fault	17.1	31976	Rahul	High	In Progress	Active	Belt	6.3	3
AST1047	Hyderabad	Production	CNC Machine	Machine-47	2025	2026-07-03	Preventive	Bearing Failure	16.8	39235	Rahul	Critical	In Progress	Idle	Motor	1.2	1
AST1048	Chennai	Assembly	Pump	Machine-48	2025	2026-06-10	Corrective	No Failure	11	9433	Meena	Low	In Progress	Idle	Valve	6.8	1
AST1049	Pune	Assembly	Robot Arm	Machine-49	2015	2026-05-10	Preventive	Overheating	2.3	25236	Rahul	Critical	Pending	Active	Valve	2.2	11
AST1050	Pune	Utilities	Robot Arm	Machine-50	2022	2026-06-16	Predictive	Overheating	8.6	40328	Anil	High	Completed	Active	Sensor	8.9	4
AST1051	Vizag	Utilities	Generator	Machine-51	2017	2026-07-12	Corrective	Sensor Fault	1	22800	Kumar	Critical	Completed	Under Maintenance	Sensor	3.7	9
AST1052	Pune	Utilities	Conveyor	Machine-52	2023	2026-06-29	Corrective	Motor Failure	2	28135	Priya	Medium	Pending	Under Maintenance	None	7.3	3
AST1053	Hyderabad	Assembly	CNC Machine	Machine-53	2021	2026-07-22	Preventive	No Failure	4.8	39612	Anil	Critical	Pending	Idle	Sensor	4.5	5
AST1054	Pune	Packaging	Pump	Machine-54	2025	2026-05-21	Preventive	Sensor Fault	4.9	9407	Rahul	Medium	In Progress	Active	None	5.6	1
AST1055	Chennai	Production	Pump	Machine-55	2025	2026-02-17	Preventive	No Failure	10.8	35882	Meena	High	Completed	Active	Sensor	2.7	1
AST1056	Hyderabad	Utilities	Compressor	Machine-56	2016	2026-03-19	Preventive	Bearing Failure	10.2	9775	Rahul	Critical	Completed	Active	Belt	3.2	10
AST1057	Pune	Production	Conveyor	Machine-57	2021	2026-04-23	Preventive	Overheating	2.5	5782	Priya	Critical	Completed	Idle	None	7	5
AST1058	Bengaluru	Packaging	Conveyor	Machine-58	2016	2026-02-08	Predictive	Bearing Failure	10.3	28774	Meena	Medium	Pending	Under Maintenance	Valve	9.1	10
AST1059	Vizag	Packaging	Generator	Machine-59	2018	2026-05-31	Corrective	Electrical Fault	17.3	8003	Kumar	Medium	In Progress	Idle	Bearing	2	8
AST1060	Hyderabad	Production	Conveyor	Machine-60	2016	2026-05-22	Preventive	No Failure	10.9	20587	Ravi	Medium	In Progress	Idle	Sensor	7.2	10
AST1061	Chennai	Packaging	Robot Arm	Machine-61	2021	2026-01-19	Corrective	Electrical Fault	12.1	14464	Priya	Low	Pending	Active	None	1.9	5
AST1062	Hyderabad	Assembly	Compressor	Machine-62	2018	2026-02-06	Corrective	Electrical Fault	13.6	38803	Anil	Critical	Completed	Under Maintenance	None	3.4	8
AST1063	Bengaluru	Utilities	Boiler	Machine-63	2020	2026-03-11	Preventive	Electrical Fault	1.2	29813	Rahul	High	Pending	Under Maintenance	Bearing	1.4	6
AST1064	Bengaluru	Assembly	Robot Arm	Machine-64	2024	2026-05-28	Corrective	Sensor Fault	10.6	12981	Priya	Critical	In Progress	Active	Belt	4.6	2
AST1065	Vizag	Packaging	Boiler	Machine-65	2021	2026-01-24	Preventive	No Failure	2.3	12039	Anil	Critical	Pending	Under Maintenance	Sensor	6.8	5
AST1066	Bengaluru	Assembly	Boiler	Machine-66	2020	2026-07-28	Preventive	Sensor Fault	6.2	27988	Meena	Low	Pending	Idle	Valve	4.4	6
AST1067	Pune	Utilities	Robot Arm	Machine-67	2017	2026-05-13	Preventive	Overheating	13.8	14840	Anil	Medium	In Progress	Under Maintenance	None	5.1	9
AST1068	Bengaluru	Production	Pump	Machine-68	2014	2026-06-11	Preventive	Electrical Fault	0.7	28238	Ravi	Medium	Completed	Under Maintenance	Bearing	6.7	12
AST1069	Pune	Utilities	Pump	Machine-69	2016	2026-05-08	Preventive	Overheating	17.7	17473	Priya	Medium	In Progress	Active	Belt	5.3	10
AST1070	Pune	Quality	CNC Machine	Machine-70	2016	2026-01-18	Predictive	Electrical Fault	5.2	1668	Anil	High	Pending	Idle	None	5.2	10
AST1071	Bengaluru	Quality	CNC Machine	Machine-71	2016	2026-04-25	Preventive	Electrical Fault	7.1	22588	Kumar	Medium	Pending	Under Maintenance	Motor	8.6	10
AST1072	Pune	Quality	Pump	Machine-72	2020	2026-01-12	Predictive	Overheating	7.3	44995	Rahul	Medium	In Progress	Active	Motor	5.3	6
AST1073	Hyderabad	Quality	Conveyor	Machine-73	2023	2026-03-26	Corrective	Overheating	0.8	10947	Priya	Medium	Completed	Under Maintenance	Sensor	3.7	3
AST1074	Hyderabad	Packaging	Robot Arm	Machine-74	2025	2026-04-12	Corrective	Electrical Fault	7.2	22252	Rahul	Critical	Pending	Active	Belt	1.1	1
AST1075	Pune	Production	Pump	Machine-75	2024	2026-06-25	Preventive	Bearing Failure	13.8	8086	Priya	Medium	Pending	Under Maintenance	Bearing	0.9	2
AST1076	Pune	Packaging	Boiler	Machine-76	2014	2026-03-17	Preventive	Electrical Fault	7.7	13300	Kumar	Medium	Completed	Idle	Valve	6.4	12
AST1077	Bengaluru	Production	Compressor	Machine-77	2017	2026-05-08	Preventive	Sensor Fault	8.5	2115	Priya	High	Pending	Idle	Motor	1.2	9
AST1078	Pune	Quality	Pump	Machine-78	2019	2026-05-31	Preventive	Sensor Fault	4	26711	Priya	Low	Completed	Under Maintenance	Belt	3.9	7
AST1079	Pune	Assembly	Robot Arm	Machine-79	2018	2026-06-29	Corrective	Sensor Fault	0.6	4714	Meena	Critical	In Progress	Active	Belt	8.1	8
AST1080	Chennai	Utilities	CNC Machine	Machine-80	2017	2026-06-12	Corrective	No Failure	13.9	10463	Rahul	Low	Pending	Idle	Bearing	3.4	9
AST1081	Bengaluru	Packaging	Pump	Machine-81	2021	2026-01-09	Preventive	Sensor Fault	6.2	28730	Kumar	Medium	Completed	Idle	Sensor	5.5	5
AST1082	Pune	Quality	Robot Arm	Machine-82	2018	2026-02-12	Preventive	Sensor Fault	14.6	32192	Ravi	Medium	Completed	Idle	None	6.9	8
AST1083	Bengaluru	Packaging	Conveyor	Machine-83	2020	2026-07-25	Corrective	Bearing Failure	5.1	9599	Priya	High	Pending	Idle	None	3	6
AST1084	Pune	Assembly	Pump	Machine-84	2020	2026-07-30	Preventive	Bearing Failure	11.3	38292	Anil	Medium	Pending	Active	None	8.3	6
AST1085	Vizag	Assembly	Compressor	Machine-85	2025	2026-03-19	Preventive	Bearing Failure	5.8	33784	Ravi	Low	Completed	Idle	Motor	4.2	1
AST1086	Bengaluru	Quality	Generator	Machine-86	2019	2026-06-21	Corrective	Motor Failure	16	44420	Ravi	Critical	Pending	Under Maintenance	Sensor	0.8	7
AST1087	Vizag	Quality	Compressor	Machine-87	2019	2026-02-25	Predictive	Bearing Failure	17.7	25573	Meena	High	Completed	Under Maintenance	Sensor	2.3	7
AST1088	Vizag	Assembly	Pump	Machine-88	2015	2026-07-30	Preventive	No Failure	11	2899	Ravi	High	Completed	Active	Belt	2.4	11
AST1089	Bengaluru	Production	Robot Arm	Machine-89	2022	2026-02-23	Predictive	Sensor Fault	14.1	40558	Ravi	High	Completed	Active	Belt	2.9	4
AST1090	Hyderabad	Production	Conveyor	Machine-90	2016	2026-01-29	Preventive	Motor Failure	10.8	2534	Kumar	High	Completed	Active	None	4.5	10
AST1091	Hyderabad	Quality	Boiler	Machine-91	2015	2026-07-10	Corrective	Electrical Fault	10.9	31122	Meena	Medium	Pending	Active	None	7.9	11
AST1092	Pune	Quality	Pump	Machine-92	2024	2026-05-14	Predictive	Bearing Failure	18	27820	Priya	Low	In Progress	Idle	Valve	1.2	2
AST1093	Bengaluru	Production	Conveyor	Machine-93	2015	2026-03-24	Preventive	Electrical Fault	11.6	37437	Rahul	High	In Progress	Idle	Belt	3.3	11
AST1094	Vizag	Assembly	Robot Arm	Machine-94	2022	2026-06-04	Corrective	No Failure	11.9	37632	Rahul	Medium	In Progress	Under Maintenance	Motor	4.4	4
AST1095	Vizag	Assembly	CNC Machine	Machine-95	2021	2026-04-13	Preventive	No Failure	5	11503	Rahul	Critical	Completed	Active	Bearing	1.4	5
AST1096	Pune	Production	Generator	Machine-96	2015	2026-07-10	Preventive	Electrical Fault	10.3	9510	Priya	High	Pending	Under Maintenance	None	1	11
AST1097	Pune	Packaging	Conveyor	Machine-97	2018	2026-06-03	Corrective	Motor Failure	3.2	33100	Kumar	Low	In Progress	Idle	Sensor	1.6	8
AST1098	Chennai	Quality	Robot Arm	Machine-98	2018	2026-05-27	Corrective	Electrical Fault	11.2	43619	Meena	Low	Pending	Idle	None	3	8
AST1099	Pune	Packaging	CNC Machine	Machine-99	2016	2026-03-11	Preventive	Motor Failure	10.4	27765	Ravi	Medium	Pending	Idle	Bearing	1.4	10
AST1100	Vizag	Quality	Boiler	Machine-100	2022	2026-02-25	Preventive	Sensor Fault	6	22758	Meena	Low	Completed	Active	Motor	7.7	4
AST1101	Hyderabad	Packaging	Boiler	Machine-101	2014	2026-06-22	Corrective	Overheating	11.1	28643	Anil	Medium	Pending	Active	Sensor	4.6	12
AST1102	Bengaluru	Quality	Generator	Machine-102	2018	2026-06-23	Corrective	Bearing Failure	4.4	40777	Ravi	Low	Completed	Under Maintenance	Motor	7.8	8
AST1103	Pune	Assembly	Conveyor	Machine-103	2018	2026-03-16	Preventive	Overheating	3.6	26417	Meena	Medium	Pending	Idle	None	8.2	8
AST1104	Hyderabad	Quality	Conveyor	Machine-104	2015	2026-04-12	Preventive	Bearing Failure	15.6	39232	Priya	Critical	Pending	Idle	Valve	3.3	11
AST1105	Pune	Production	Robot Arm	Machine-105	2020	2026-01-06	Predictive	Overheating	15.1	25214	Ravi	Critical	Completed	Active	Valve	6.1	6
AST1106	Vizag	Packaging	Pump	Machine-106	2022	2026-01-21	Preventive	Sensor Fault	14.1	6505	Meena	Low	Pending	Idle	Motor	9.1	4
AST1107	Chennai	Production	Conveyor	Machine-107	2019	2026-03-31	Preventive	Motor Failure	3.5	11518	Rahul	Low	Completed	Idle	Valve	4.9	7
AST1108	Bengaluru	Quality	Pump	Machine-108	2023	2026-07-14	Predictive	Electrical Fault	11.8	42428	Anil	High	Completed	Under Maintenance	Bearing	5	3
AST1109	Pune	Utilities	Conveyor	Machine-109	2024	2026-03-19	Preventive	Bearing Failure	5.9	31116	Ravi	Low	In Progress	Under Maintenance	Bearing	6.6	2
AST1110	Bengaluru	Utilities	Boiler	Machine-110	2015	2026-06-07	Preventive	Electrical Fault	17.2	4188	Priya	Medium	In Progress	Idle	Valve	5.3	11
AST1111	Hyderabad	Packaging	Pump	Machine-111	2014	2026-04-26	Preventive	No Failure	3.5	17736	Rahul	Critical	In Progress	Idle	Belt	6.3	12
AST1112	Pune	Quality	Boiler	Machine-112	2019	2026-04-06	Corrective	No Failure	11	42845	Rahul	High	Completed	Under Maintenance	Bearing	5.8	7
AST1113	Pune	Utilities	Robot Arm	Machine-113	2020	2026-03-14	Preventive	Bearing Failure	10.7	10768	Anil	High	Pending	Idle	None	4.2	6
AST1114	Hyderabad	Packaging	Generator	Machine-114	2023	2026-07-01	Preventive	Sensor Fault	14.7	35997	Ravi	Critical	Pending	Under Maintenance	Bearing	3.9	3
AST1115	Pune	Quality	Compressor	Machine-115	2016	2026-02-24	Preventive	Motor Failure	3.2	20885	Ravi	Low	Pending	Under Maintenance	Belt	1.7	10
AST1116	Chennai	Production	Robot Arm	Machine-116	2020	2026-02-09	Corrective	Electrical Fault	14.7	12348	Rahul	Critical	Completed	Under Maintenance	Sensor	6.9	6
AST1117	Bengaluru	Packaging	Robot Arm	Machine-117	2017	2026-04-24	Corrective	Overheating	4.6	17174	Anil	Critical	Completed	Under Maintenance	None	9.5	9
AST1118	Pune	Quality	Generator	Machine-118	2021	2026-04-29	Corrective	Motor Failure	14.8	41127	Kumar	High	Completed	Idle	Valve	8.8	5
AST1119	Bengaluru	Assembly	CNC Machine	Machine-119	2022	2026-01-27	Preventive	Motor Failure	5.3	35143	Kumar	Critical	Completed	Active	Valve	8.9	4
AST1120	Hyderabad	Quality	Generator	Machine-120	2014	2026-04-17	Preventive	Overheating	17.9	26070	Kumar	Low	In Progress	Active	None	6.7	12
AST1121	Hyderabad	Packaging	Robot Arm	Machine-121	2016	2026-02-05	Preventive	Motor Failure	13.8	32243	Priya	Low	Completed	Active	Sensor	2.5	10
AST1122	Bengaluru	Utilities	Boiler	Machine-122	2016	2026-05-21	Preventive	Sensor Fault	4.7	9485	Ravi	Medium	In Progress	Idle	Belt	4.8	10
AST1123	Bengaluru	Utilities	Conveyor	Machine-123	2015	2026-05-08	Corrective	Electrical Fault	4.7	10909	Anil	Critical	Completed	Idle	Sensor	2.8	11
AST1124	Hyderabad	Utilities	CNC Machine	Machine-124	2020	2026-02-17	Preventive	Electrical Fault	10	34767	Meena	Low	In Progress	Under Maintenance	Bearing	6.5	6
AST1125	Hyderabad	Packaging	Robot Arm	Machine-125	2019	2026-03-06	Preventive	Motor Failure	13.3	42673	Ravi	High	Completed	Active	Sensor	5.7	7
AST1126	Vizag	Quality	Pump	Machine-126	2024	2026-02-14	Preventive	Motor Failure	1.6	31494	Ravi	High	Completed	Active	Motor	8.9	2
AST1127	Bengaluru	Quality	Robot Arm	Machine-127	2019	2026-03-21	Corrective	Sensor Fault	1.1	43895	Kumar	High	In Progress	Active	None	3.7	7
AST1128	Pune	Quality	Boiler	Machine-128	2015	2026-07-24	Corrective	Overheating	6.4	13743	Priya	Critical	In Progress	Idle	Sensor	8.1	11
AST1129	Hyderabad	Quality	Generator	Machine-129	2025	2026-04-19	Predictive	Motor Failure	10	22550	Ravi	Low	In Progress	Idle	Sensor	3.4	1
AST1130	Vizag	Production	Pump	Machine-130	2023	2026-07-03	Preventive	Overheating	1.2	24605	Meena	Critical	In Progress	Idle	Bearing	1.2	3
AST1131	Pune	Utilities	Robot Arm	Machine-131	2024	2026-04-14	Corrective	Motor Failure	17.2	10857	Meena	Critical	Completed	Active	Bearing	2.7	2
AST1132	Pune	Quality	Generator	Machine-132	2024	2026-04-04	Preventive	Motor Failure	12.4	25811	Anil	Critical	Completed	Idle	Motor	5.5	2
AST1133	Pune	Production	Conveyor	Machine-133	2020	2026-03-22	Preventive	Motor Failure	9.2	26861	Meena	Low	In Progress	Under Maintenance	None	4.7	6
AST1134	Vizag	Production	Conveyor	Machine-134	2023	2026-03-15	Preventive	Bearing Failure	8.4	30670	Ravi	High	Pending	Under Maintenance	None	1.1	3
AST1135	Pune	Production	Pump	Machine-135	2022	2026-03-16	Corrective	No Failure	11.7	25190	Meena	Medium	Completed	Active	Motor	2.7	4
AST1136	Pune	Utilities	Generator	Machine-136	2021	2026-01-07	Preventive	Electrical Fault	2.8	7150	Ravi	High	In Progress	Idle	None	5	5
AST1137	Vizag	Utilities	Conveyor	Machine-137	2020	2026-07-16	Preventive	Sensor Fault	11.7	30989	Priya	High	Completed	Idle	None	6.1	6
AST1138	Bengaluru	Assembly	Robot Arm	Machine-138	2016	2026-04-21	Preventive	Motor Failure	5.8	12114	Anil	Medium	In Progress	Idle	Sensor	8.5	10
AST1139	Bengaluru	Packaging	Compressor	Machine-139	2018	2026-02-20	Corrective	Electrical Fault	9.8	34436	Rahul	Medium	Pending	Idle	Motor	2.1	8
AST1140	Bengaluru	Packaging	Robot Arm	Machine-140	2023	2026-07-04	Predictive	Bearing Failure	14.9	3359	Ravi	Low	Pending	Idle	Sensor	6.7	3
AST1141	Bengaluru	Assembly	Boiler	Machine-141	2023	2026-04-17	Predictive	Electrical Fault	5.6	21298	Priya	Medium	Pending	Under Maintenance	Sensor	4.8	3
AST1142	Chennai	Quality	Boiler	Machine-142	2025	2026-01-16	Preventive	Motor Failure	6.5	10915	Anil	High	Pending	Under Maintenance	Valve	1.7	1
AST1143	Bengaluru	Assembly	CNC Machine	Machine-143	2019	2026-05-12	Preventive	Bearing Failure	5.2	17747	Kumar	Low	Completed	Under Maintenance	Valve	8.7	7
AST1144	Chennai	Packaging	Generator	Machine-144	2020	2026-03-05	Corrective	Motor Failure	13.9	34154	Meena	Critical	In Progress	Under Maintenance	Valve	0.7	6
AST1145	Vizag	Production	Compressor	Machine-145	2020	2026-05-10	Corrective	Bearing Failure	1.4	33933	Meena	Critical	In Progress	Idle	Bearing	8.5	6
AST1146	Pune	Packaging	Robot Arm	Machine-146	2020	2026-02-04	Preventive	Bearing Failure	7.5	38873	Meena	Medium	In Progress	Idle	Sensor	1.2	6
AST1147	Bengaluru	Packaging	Robot Arm	Machine-147	2022	2026-04-26	Predictive	No Failure	11.2	9932	Ravi	Critical	In Progress	Under Maintenance	Belt	9.4	4
AST1148	Bengaluru	Utilities	Boiler	Machine-148	2016	2026-02-20	Corrective	Bearing Failure	1.2	23326	Priya	Critical	Completed	Idle	Belt	1.8	10
AST1149	Chennai	Quality	Generator	Machine-149	2023	2026-03-23	Corrective	Sensor Fault	10.9	34747	Meena	Critical	Pending	Idle	Sensor	5	3
AST1150	Pune	Assembly	Boiler	Machine-150	2014	2026-04-05	Corrective	No Failure	15.8	42739	Ravi	Critical	In Progress	Idle	Belt	6	12
AST1151	Bengaluru	Quality	Compressor	Machine-151	2025	2026-01-14	Corrective	No Failure	11.3	26416	Kumar	Medium	Completed	Idle	None	1.5	1
AST1152	Pune	Quality	Compressor	Machine-152	2014	2026-04-23	Preventive	Motor Failure	7.7	41573	Priya	Low	Pending	Active	Belt	2.5	12
AST1153	Vizag	Utilities	Boiler	Machine-153	2019	2026-06-19	Preventive	Motor Failure	8.5	36439	Anil	High	Pending	Idle	None	6.6	7
AST1154	Bengaluru	Quality	Compressor	Machine-154	2025	2026-03-09	Predictive	Sensor Fault	10.3	16236	Anil	High	Pending	Active	None	7.2	1
AST1155	Pune	Utilities	Robot Arm	Machine-155	2019	2026-05-03	Corrective	Sensor Fault	2.6	37098	Priya	Critical	In Progress	Active	Sensor	0.9	7
AST1156	Pune	Quality	Pump	Machine-156	2025	2026-01-21	Preventive	Overheating	4.2	36796	Anil	High	Completed	Active	Belt	7.5	1
AST1157	Hyderabad	Utilities	Compressor	Machine-157	2017	2026-03-04	Corrective	Bearing Failure	2.3	23146	Rahul	Critical	Completed	Idle	Motor	0.5	9
AST1158	Vizag	Quality	Boiler	Machine-158	2022	2026-02-10	Corrective	Sensor Fault	6.1	43829	Ravi	Low	Pending	Idle	Motor	5.6	4
AST1159	Chennai	Quality	Robot Arm	Machine-159	2025	2026-01-10	Preventive	Bearing Failure	18	27517	Priya	Medium	Pending	Under Maintenance	Bearing	0.6	1
AST1160	Hyderabad	Packaging	CNC Machine	Machine-160	2023	2026-06-04	Preventive	No Failure	10	33869	Kumar	Critical	In Progress	Active	Bearing	3.6	3
AST1161	Pune	Production	Conveyor	Machine-161	2025	2026-04-28	Corrective	Sensor Fault	10.4	14159	Kumar	Critical	In Progress	Idle	Sensor	1.3	1
AST1162	Chennai	Production	Boiler	Machine-162	2024	2026-01-25	Preventive	Motor Failure	0.6	26637	Kumar	Critical	In Progress	Under Maintenance	Sensor	6	2
AST1163	Pune	Packaging	Pump	Machine-163	2023	2026-01-03	Preventive	No Failure	2.6	21606	Kumar	Critical	Pending	Idle	None	7.8	3
AST1164	Pune	Packaging	Generator	Machine-164	2025	2026-01-31	Preventive	Motor Failure	8.9	31317	Rahul	High	In Progress	Idle	Belt	9.2	1
AST1165	Chennai	Production	Pump	Machine-165	2022	2026-07-25	Corrective	Bearing Failure	9.7	36114	Rahul	High	Completed	Idle	Bearing	1.1	4
AST1166	Chennai	Utilities	Generator	Machine-166	2022	2026-05-10	Preventive	Sensor Fault	15.5	30456	Ravi	Medium	Pending	Idle	Valve	1.4	4
AST1167	Hyderabad	Quality	Compressor	Machine-167	2022	2026-04-25	Corrective	Overheating	10.4	38121	Priya	High	Pending	Active	Valve	2.9	4
AST1168	Chennai	Utilities	Conveyor	Machine-168	2014	2026-07-10	Preventive	Sensor Fault	12.8	36965	Ravi	Low	In Progress	Active	Sensor	4.4	12
